Date,Day,Title,Duration,URL,Video ID
Unknown,,1st January 2026 : Zee Business Live | Share Market Live Updates | Stock Market News,N/A,https://www.youtube.com/watch?v=nfFM_OWlaAk,nfFM_OWlaAk
Unknown,,Zee Business Live | Anil Singhvi | Share Market Live Updates | Stock Market News,N/A,https://www.youtube.com/watch?v=9TC_T9e5FVg,9TC_T9e5FVg
Unknown,,Anil Singhvi LIVE: आज कहां करें इन्वेस्ट | Stock Market Update | Business & Finance | Zee Business,N/A,https://www.youtube.com/watch?v=drO-LEafqMs,drO-LEafqMs
Unknown,,Zee Business Live | Share Market Live Updates | Stock Market News | Zee Biz,11.0h 55.0m,https://www.youtube.com/watch?v=CDowl3r4HsE,CDowl3r4HsE
Unknown,,First Trade 1st January 2026 : Zee Business Live | Share Market Live Updates | Stock Market News,7.0h 32.0m,https://www.youtube.com/watch?v=SueSupXPYtQ,SueSupXPYtQ
Unknown,,Final Trade 1st January  2026 | बनाएं आखिरी डेढ़ घंटे में कमाई की स्ट्रैटेजी #AnilSinghvi के साथ...,51.0m,https://www.youtube.com/watch?v=JE3ohHUFvaI,JE3ohHUFvaI
Unknown,,Final Trade 1st January  2026 | बनाएं आखिरी डेढ़ घंटे में कमाई की स्ट्रैटेजी #AnilSinghvi के साथ...,18.0m,https://www.youtube.com/watch?v=g23GJUlGEpk,g23GJUlGEpk
Unknown,,Market Radar | बनाइए Nifty और Bank Nifty पर सटीक स्ट्रैटेजी एक्सपर्ट्स की दमदार कॉल्स के साथ...,26.0m,https://www.youtube.com/watch?v=wX46qJRM0h8,wX46qJRM0h8
Unknown,,Sensex Success Story | How Sensex Created Wealth Over Four Decades ? | Exclusive With BSE MD & CEO,24.0m,https://www.youtube.com/watch?v=7V3hqFDOBZk,7V3hqFDOBZk
Unknown,,Commodity Live | Gold and Silver Outlook | Will Precious Metals Shine in 2026 ?,23.0m,https://www.youtube.com/watch?v=q5ZYOpwM2U0,q5ZYOpwM2U0
Unknown,,Special 26 | Why 2026 Is a Big Year for Mutual Fund Investors? | Navneet Munot  With Anil Singhvi,24.0m,https://www.youtube.com/watch?v=z0JcfU65Ab8,z0JcfU65Ab8
Unknown,,Share Bazaar Live और First Trade में बाजार का शुरुआती एक्शन Anil Singhvi  के साथ 1st January 2026,2.0h 57.0m,https://www.youtube.com/watch?v=wvJWtxpOnWg,wvJWtxpOnWg
Unknown,,31st December 2025 : Zee Business Live | Share Market Live Updates | Stock Market News,5.0h 51.0m,https://www.youtube.com/watch?v=cunHu0mYuTU,cunHu0mYuTU
Unknown,,"Bazaar Aaj Aur Kal | कैसा होगा कल बाजार का मूड, बाजार में कहां है कमाई का मौका?",30.0m,https://www.youtube.com/watch?v=62voCKwh6rg,62voCKwh6rg
Unknown,,"Silver Shines in 2025, What’s the Outlook for 2026 | Commodity LIVE",25.0m,https://www.youtube.com/watch?v=fyorK2WWE-g,fyorK2WWE-g
Unknown,,"Silver Shines in 2025, What’s the Outlook for 2026 | Commodity LIVE",26.0m,https://www.youtube.com/watch?v=promUxp_DZ8,promUxp_DZ8
Unknown,,Zee Business Live | Share Market Live Updates | Stock Market News | Zee Biz,11.0h 55.0m,https://www.youtube.com/watch?v=4Ia0FOfiaaQ,4Ia0FOfiaaQ
Unknown,,First Trade 31st December 2025 : Zee Business Live | Share Market Live Updates | Stock Market News,8.0h 53.0m,https://www.youtube.com/watch?v=ucKSN9aKGVc,ucKSN9aKGVc
Unknown,,Final Trade 31st December 2025 | बनाएं आखिरी डेढ़ घंटे में कमाई की स्ट्रैटेजी #AnilSinghvi के साथ...,1.0h 37.0m,https://www.youtube.com/watch?v=p_ylzD3Ud1U,p_ylzD3Ud1U
Unknown,,Zee Business Stock Awards 2025 | Top Performers and Big Winners | Anil Singhvi,22.0m,https://www.youtube.com/watch?v=38Ju30UL8PA,38Ju30UL8PA
Unknown,,Commodity Live | Why Is Silver So Volatile and What Is the Outlook for 2026?,19.0m,https://www.youtube.com/watch?v=2_nPJe-QpnA,2_nPJe-QpnA
Unknown,,Special 26: Nilesh Shah on Top Themes and Sectors for 2026 With Anil Singhvi,25.0m,https://www.youtube.com/watch?v=VbqiDKVhgyo,VbqiDKVhgyo
Unknown,,Share Bazaar Live और First Trade में बाजार का शुरुआती एक्शन Anil Singhvi  के साथ 31st December 2025,2.0h 59.0m,https://www.youtube.com/watch?v=nB436jQQrd4,nB436jQQrd4
Unknown,,Traders Diary Live | Why Bharat Forge Is in Focus and What to Expect From NBFC Stocks Today?,30.0m,https://www.youtube.com/watch?v=REu91oAt0Ac,REu91oAt0Ac
Unknown,,30th December 2025 : Zee Business Live | Share Market Live Updates | Stock Market News,6.0h 36.0m,https://www.youtube.com/watch?v=ywnF4uESz0E,ywnF4uESz0E
Unknown,,"Zee Business LIVE: Severe Cold Wave Grips North India, Temperatures Plunge Sharply |",6.0h 30.0m,https://www.youtube.com/watch?v=Z27UPHzqqLI,Z27UPHzqqLI
Unknown,,"Bazaar Aaj Aur Kal | कैसा होगा कल बाजार का मूड, बाजार में कहां है कमाई का मौका?",31.0m,https://www.youtube.com/watch?v=kckMRMc_JwM,kckMRMc_JwM
Unknown,,"Smart Tax Planning 2026, How to Save Tax on Stock Market Profits | Money Guru",24.0m,https://www.youtube.com/watch?v=pT_EUu778CA,pT_EUu778CA
Unknown,,"Golden Returns in Gold This Year, What’s the Outlook for 2026? | Commodity LIVE",25.0m,https://www.youtube.com/watch?v=XSUtUEuD2GE,XSUtUEuD2GE
Unknown,,"Silver Price Crash, Budget Meeting and Cold Wave, What Happened Today? | Zee Business Live",22.0m,https://www.youtube.com/watch?v=-IUckZ7fM74,-IUckZ7fM74
Unknown,,Zee Business Live | Share Market Live Updates | Stock Market News | Zee Biz,11.0h 55.0m,https://www.youtube.com/watch?v=xZgq2tkTwog,xZgq2tkTwog
Unknown,,First Trade 30th December 2025 : Zee Business Live | Share Market Live Updates | Stock Market News,8.0h 44.0m,https://www.youtube.com/watch?v=qOvkNyzIeIo,qOvkNyzIeIo
Unknown,,Final Trade 30th December 2025 | बनाएं आखिरी डेढ़ घंटे में कमाई की स्ट्रैटेजी #AnilSinghvi के साथ...,1.0h 40.0m,https://www.youtube.com/watch?v=CxIJOaouDp8,CxIJOaouDp8
Unknown,,Market Radar | बनाइए Nifty और Bank Nifty पर सटीक स्ट्रैटेजी एक्सपर्ट्स की दमदार कॉल्स के साथ...,18.0m,https://www.youtube.com/watch?v=D6Q39N2VwFc,D6Q39N2VwFc
Unknown,,"Commodity Live | Why Is Silver So Volatile? Crash, Recovery & New Year Targets Explained",21.0m,https://www.youtube.com/watch?v=O5URtOcv1us,O5URtOcv1us
Unknown,,Share Bazaar Live और First Trade में बाजार का शुरुआती एक्शन Anil Singhvi  के साथ 30th December 2025,2.0h 57.0m,https://www.youtube.com/watch?v=5K06hNwano8,5K06hNwano8
Unknown,,Traders Diary Live | Is Ashok Leyland Ready for a Big Rally Here’s What Traders Are Watching?,32.0m,https://www.youtube.com/watch?v=IqsM8FhzMHc,IqsM8FhzMHc
Unknown,,29th December 2025 : Zee Business Live | Share Market Live Updates | Stock Market News,6.0h 7.0m,https://www.youtube.com/watch?v=0buXNdxucsI,0buXNdxucsI
Unknown,,"Bazaar Aaj Aur Kal | कैसा होगा कल बाजार का मूड, बाजार में कहां है कमाई का मौका?",21.0m,https://www.youtube.com/watch?v=SnOAERyj_lI,SnOAERyj_lI
Unknown,,Silver Market Turmoil Explained Why Prices Fell From Record Highs | Commodity LIVE,25.0m,https://www.youtube.com/watch?v=vmABk4hcxHY,vmABk4hcxHY
Unknown,,First Trade 29th December 2025 : Zee Business Live | Share Market Live Updates | Stock Market News,8.0h 38.0m,https://www.youtube.com/watch?v=gHm8tIRN7ZY,gHm8tIRN7ZY
Unknown,,Final Trade 29th December 2025 | बनाएं आखिरी डेढ़ घंटे में कमाई की स्ट्रैटेजी #AnilSinghvi के साथ...,35.0m,https://www.youtube.com/watch?v=VeN2JU5zfs8,VeN2JU5zfs8
Unknown,,Final Trade 29th December 2025 | बनाएं आखिरी डेढ़ घंटे में कमाई की स्ट्रैटेजी #AnilSinghvi के साथ...,5.0m,https://www.youtube.com/watch?v=RxaRF_mCIU4,RxaRF_mCIU4
Unknown,,Final Trade 29th December 2025 | बनाएं आखिरी डेढ़ घंटे में कमाई की स्ट्रैटेजी #AnilSinghvi के साथ...,24.0m,https://www.youtube.com/watch?v=FfmW9tVab8s,FfmW9tVab8s
Unknown,,Market Radar | बनाइए Nifty और Bank Nifty पर सटीक स्ट्रैटेजी एक्सपर्ट्स की दमदार कॉल्स के साथ...,24.0m,https://www.youtube.com/watch?v=9ziDtrgcNx0,9ziDtrgcNx0
Unknown,,Market Radar | बनाइए Nifty और Bank Nifty पर सटीक स्ट्रैटेजी एक्सपर्ट्स की दमदार कॉल्स के साथ...,18.0m,https://www.youtube.com/watch?v=FTlxyilTdMM,FTlxyilTdMM
Unknown,,Commodity Live | Why Is Silver in a Crazy Rally | What’s Driving Prices Higher?,7.0m,https://www.youtube.com/watch?v=Ljlw8wvlxkU,Ljlw8wvlxkU
Unknown,,2025 की पाठशाला : Market Lessons of 2025 | What This Year Taught Investors? | Anil Singhvi,17.0m,https://www.youtube.com/watch?v=hM0Genuc31I,hM0Genuc31I
Unknown,,Share Bazaar Live और First Trade में बाजार का शुरुआती एक्शन Anil Singhvi  के साथ 29th December 2025,2.0h 24.0m,https://www.youtube.com/watch?v=Seq8T2cX1oc,Seq8T2cX1oc
Unknown,,"Traders Diary Live | Stocks to Watch Today | Alkem Labs, NBCC, HUDCO, Titan & SBI in Focus",29.0m,https://www.youtube.com/watch?v=xHUPdGhQS0U,xHUPdGhQS0U
Unknown,,28th December 2025 : Zee Business Live | Share Market Live Updates | Stock Market News,7.0h 13.0m,https://www.youtube.com/watch?v=LxEICi6yeVY,LxEICi6yeVY
Unknown,,Zee Business Live | Share Market Live Updates | Stock Market News | Zee Biz,11.0h 55.0m,https://www.youtube.com/watch?v=pebGsXx3EL4,pebGsXx3EL4
Unknown,,27th December 2025 : Zee Business Live | Share Market Live Updates | Stock Market News,8.0h 0.0m,https://www.youtube.com/watch?v=Ipp6Ue-dytE,Ipp6Ue-dytE
Unknown,,Zee Business Live | Share Market Live Updates | Stock Market News | Zee Biz,11.0h 55.0m,https://www.youtube.com/watch?v=ZQbGRmGnZKw,ZQbGRmGnZKw
Unknown,,26th December 2025 : Zee Business Live | Share Market Live Updates | Stock Market News,6.0h 28.0m,https://www.youtube.com/watch?v=rKg90hvEqsA,rKg90hvEqsA
Unknown,,Bazaar Agle Hafte | Next Week's Market Outlook: What You Need to Know with Anil Singhvi,28.0m,https://www.youtube.com/watch?v=O0PAHGnaJmg,O0PAHGnaJmg
Unknown,,Edible Oil Outlook for the New Year Demand Supply and Prices | Commodity LIVE,23.0m,https://www.youtube.com/watch?v=4s_6-T0EDrM,4s_6-T0EDrM
Unknown,,Zee Business Live | Share Market Live Updates | Stock Market News | Zee Biz,11.0h 55.0m,https://www.youtube.com/watch?v=8y6OfSWfn8M,8y6OfSWfn8M
Unknown,,First Trade 26th December 2025 : Zee Business Live | Share Market Live Updates | Stock Market News,8.0h 48.0m,https://www.youtube.com/watch?v=DvlrCn35_SI,DvlrCn35_SI
Unknown,,Final Trade 26th December 2025 | बनाएं आखिरी डेढ़ घंटे में कमाई की स्ट्रैटेजी #AnilSinghvi के साथ...,1.0h 0.0m,https://www.youtube.com/watch?v=L0ffSs0_GlY,L0ffSs0_GlY
Unknown,,Final Trade 26th December 2025 | बनाएं आखिरी डेढ़ घंटे में कमाई की स्ट्रैटेजी #AnilSinghvi के साथ...,12.0m,https://www.youtube.com/watch?v=XAHupChIPQY,XAHupChIPQY
Unknown,,Final Trade 26th December 2025 | बनाएं आखिरी डेढ़ घंटे में कमाई की स्ट्रैटेजी #AnilSinghvi के साथ...,5.0m,https://www.youtube.com/watch?v=-5EI8egQdBw,-5EI8egQdBw
Unknown,,Final Trade 26th December 2025 | बनाएं आखिरी डेढ़ घंटे में कमाई की स्ट्रैटेजी #AnilSinghvi के साथ...,21.0m,https://www.youtube.com/watch?v=2OjTFxAnVnE,2OjTFxAnVnE
Unknown,,Market Radar | बनाइए Nifty और Bank Nifty पर सटीक स्ट्रैटेजी एक्सपर्ट्स की दमदार कॉल्स के साथ...,22.0m,https://www.youtube.com/watch?v=u2E4kSq5Y4w,u2E4kSq5Y4w
Unknown,,Commodity Live | Will Silver Touch Two Point Five Lakh This Month | Price Outlook Explained,16.0m,https://www.youtube.com/watch?v=MXdiUYLlnE8,MXdiUYLlnE8
Unknown,,Special 26: Raamdeo Agrawal’s Top Investment Themes for 2026 | Anil Singhvi,28.0m,https://www.youtube.com/watch?v=H5_dCcSety8,H5_dCcSety8
Unknown,,Share Bazaar Live और First Trade में बाजार का शुरुआती एक्शन Anil Singhvi  के साथ 26th December 2025,3.0h 1.0m,https://www.youtube.com/watch?v=MG7KlSwrQFU,MG7KlSwrQFU
Unknown,,"Traders Diary Live | Canara Bank, UltraTech Cement and Top Money Making Stocks Today",30.0m,https://www.youtube.com/watch?v=x-TtqFG82hc,x-TtqFG82hc
Unknown,,25th December 2025 : Zee Business Live | Share Market Live Updates | Stock Market News,4.0h 51.0m,https://www.youtube.com/watch?v=QIKseF0wLQc,QIKseF0wLQc
Unknown,,Zee Business Live | Share Market Live Updates | Stock Market News | Zee Biz,11.0h 55.0m,https://www.youtube.com/watch?v=SZabhq0bi_s,SZabhq0bi_s
Unknown,,24th December 2025 : Zee Business Live | Share Market Live Updates | Stock Market News,6.0h 36.0m,https://www.youtube.com/watch?v=gZgIxjGsHdQ,gZgIxjGsHdQ
Unknown,,"Bazaar Aaj Aur Kal | कल बाजार रहेगा बंद, कैसा रहेगा शुक्रवार का बाजार ?",29.0m,https://www.youtube.com/watch?v=PVjrRF3Bnvs,PVjrRF3Bnvs
Unknown,,Can Copper Deliver Big Returns Like Silver in 2026? Commodity Live,27.0m,https://www.youtube.com/watch?v=ircZ4vQJBXk,ircZ4vQJBXk
